Organization,Project ID,IPC,Project Title,Project Description,Project Activities,Additional Information,Est Start Date,Est End Date,Budget,Cluster(s),Sectors,IA Sector(s),Cross-Cutting Issue(s),Implementing Organization(s),Partner Organization(s),Donor(s),Awardee Type,Number of People Reached (target),Calculation of Number of People Reached,Target Group(s),Country,_1st Administrative Level,_2nd Administrative Level,_3rd Administrative Level,City/Village,IDP/Refugee Camp,Latitude,Longitude,Contact Name,Contact Title,Contact E-mail,Website,Date Provided,Date Updated,Project Needs
Operation Blessing International,9,OBI-HT-10-009,Anti-Parasite Program,"Working with the Haitian ministry of health, our goal is to provide every school-aged child in the country (around 1.3 million children) with anti-parasite medication and basic hygiene training designed to help prevent re-infestation. This work will involve the importation of 4.1 Mebendazole 500 mg for a nationwide child deworming campaign.",,,,,,Health,,Health,,Operation Blessing International ,Haiti Ministry of Health,,,,,,Haiti,,,,,,,,,,,http://www.ob.org/haitiprojects/antiparasite.asp,09/22/2010,,
Operation Blessing International,10,OBI-HT-10-010,Big Busters Mosquito Abatement Program,"With the Haitian government’s approval, Operation Blessing will soon start a hatchery for Gambusia – tiny fish that eat mosquito larvae – that are used all around the world as a green, natural, and sustainable method of mosquito control, which is key in eradicating the root cause of diseases including malaria and dengue fever (Haiti is the only western country where malaria remains epidemic). Currently, the State of Virginia’s Mosquito Control office is raising 4,000 breeder fish that will be delivered to Haiti in about 2 months. At the hatchery, the fish multiply rapidly into millions. Gambusia fish thrive in the worst conditions imaginable and eat many times their body weight in mosquito larvae/eggs. The Haitian Red Cross will partner with OBI to provide the volunteers needed to release the fish into stagnant, mosquito-infested waters around the country. In addition to the Gambusia, OBI will also import truck mounted insecticide sprayers, 11 backpack spray units, 10 tons of spraying material and 3,600 larvacide briquettes for the purposes of this mosquito abatement program.",,,,,,Health,,Health,,Operation Blessing International,Haitian Red Cross,,,,,,Haiti,Ouest,Port-au-Prince,,,,,,,,,http://www.ob.org/haitiprojects/MosquitoFish.asp,09/22/2010,,
Operation Blessing International,11,OBI-HT-10-011,Wheelchair Distribution,550 wheelchairs have been donated and distributed through hospitals and partner NGOs.,,,,,,Health,,Health,,,,,,,,,Haiti,Ouest,Port-au-Prince,,,,,,,,,,09/22/2010,,
Operation Blessing International,12,OBI-HT-10-012,Mirebalais Hospital,"Donation and installation of the complete water system for the Mirebalais Hospital, in partnership with Partners in Health. The project includes the drilling of two water wells and the installation of a chorination unit.",,,,,,Health,,Health,,,Partners in Health,,,,,,Haiti,Centre,Mirebalais,,,,,,,,,,09/22/2010,,
Operation Blessing International,13,OBI-HT-10-013,Lifesaver Clean Water,"Operation Blessing is conducting a pilot project with Lifesaver USA, to distribute Lifesaver’s new, portable, family-size water filtration jerrycans to villages lacking clean water sources. These innovative jerrycans are able to provide clean drinking water from even the dirtiest of sources. OBI’s international field staff has used the Lifesaver technology for two years with 100 percent success. Teams will be conducting an impact study over a 6-month period in the villages that receive the jerrycans, comparing the prevalence of water-borne illness in families who use the systems and those who do not. It is hopeful that this new technology will result in the ability to provide safe, clean drinking water to people all over the world at a fraction of the cost of other methods. This project will involve the importation and distribution of 1,000 Lifesaver five-gallon jerrycan water filtration units.",,,,,,Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,Operation Blessing International ,Lifesaver USA,,,,,,Haiti,Ouest,Port-au-Prince,,"Lake Ozaui, Titanye, Parque Jean Marie Vincent","Camp Dadadou, Camp Village Miguel",18.558453,-72.321164,,,,http://www.ob.org/haitiprojects/LifesaverWater.asp,09/22/2010,,
Operation Blessing International,14,OBI-HT-10-014,Wells,Strategic partnership with Caribbean Drilling. Five wells drilled since June 2010 to areas in critical need.,,,06/01/2010,,,Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,,Caribbean Drilling,,,,,,Haiti,Ouest,Port-au-Prince,,,,,,,,,,09/22/2010,,
Operation Blessing International,15,OBI-HT-10-015,Chlorine Generators,Importation of 2 chlorine generators to produce chlorine in solution for mass water purification.,,,,,,Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,,,,,,,,Haiti,Ouest,Port-au-Prince,,,,,,,,,,09/22/2010,,
Operation Blessing International,16,OBI-HT-10-016,St. Luke's Orphanage,"Installed toilets and shower units at St. Luke's orphanage in Port-au-Prince, serving 350 children.",,,,,,Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,,,,, 350 ,,Children,Haiti,Ouest,Port-au-Prince,,,,,,,,,,09/22/2010,,
Operation Blessing International,17,OBI-HT-10-017,Artists for Peace and Justice Secondary School,"Installed toilets and shower units for Artists for Peace and Justice's secondary school in Port-au-Prince, serving 150 children.",,,,,,Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,,,,, 150 ,,Children,Haiti,Ouest,Port-au-Prince,,,,,,,,,,09/22/2010,,
Operation Blessing International,18,OBI-HT-10-018,Community Water Project,Completed a community water project at the Village of La Source (population 880). This involved capping the spring and piping it one mile to three separate access points in the village.,,,,,,Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,,,,,,,,Haiti,Sud-Est,Jacmel,,La Source,,,,,,,,09/22/2010,,
Operation Blessing International,19,OBI-HT-10-019,Shoe Distribution,"Distribution of 12,500 pairs of TOMS Shoes, in and around Port-au-Prince through the partnership with Partners in Health",,,,,,Protection,,Other,,,Partners in Health,,,,,,Haiti,Ouest,Port-au-Prince,Port-au-Prince,Lake Ozaui,,,,,,,,09/22/2010,,
Operation Blessing International,20,OBI-HT-10-020,Mobile Projection Unit,"Operation Blessing uses a mobile projection unit for conducting evening programs to show movies, educational material and public service announcements in camps and schools, in partnership with Artists for Peace and Justice.",,,,,,N/A,,Other,,,Artists for Peace and Justice,,,,,Children,Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,,,,,09/22/2010,,
Operation Blessing International,21,OBI-HT-10-021,Camp Villa Betame Community Center,"Construction of a community center in Camp Villa Betame (population 7,000). The community center is used as a facility for community meetings, educational programs, community activities, church groups and entertainment.",,,,,,Early Recovery,,Disaster Management,,,,,,,,,Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,,,,,09/22/2010,,
Operation Blessing International,22,OBI-HT-10-022,Sustainable Fish Farms,"Operation Blessing has partnered with Caribbean Harvest, a Haitian charity, to help fund a remarkable fish-farming program that will provide food and sustainable incomes for nearly 100 families. Families receive a starter kit ($1,000 value) containing a floating metal cage, 2,400 baby fish and a four-month supply of fish food. Caribbean Harvest’s staff teaches the family how to raise the fish and then provides ongoing weekly oversight. In just four months, fish are fully grown and can be sold in markets. Profits earned from the sale of the fish give each family approximately $500 in addition to covering the cost of purchasing another 2,400 baby fish and four-month supply of fish food. The harvest cycle repeats almost 2.5 times a year, helping each family earn an annual income of around $1,200. This project will create over 4,000 new jobs over the next two years, with a ratio of one job per every ton of fish produced. The program will also help to increase nutrition rates in extremely impoverished villages around the lakes.",,,,,,Agriculture,,Agriculture,,"Operation Blessing International, Caribbean Harvest",,,,,,,Haiti,,,,,,,,,,,http://www.ob.org/haitiprojects/fishFarms.asp,09/22/2010,,
Operation Blessing International,23,OBI-HT-10-023,Integrated Aquaponics System,Operation Blessing is using an integrated aquaponics system for raising fish and vegetables as food security for orphans in Port-au-Prince.,,,,,,Agriculture,,Agriculture,,,,,,,,Orphans and vulnerable children (OVC),Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,,,,,09/22/2010,,
Operation USA,1,OPUSA-HT-10-001,Providing Relief Supplies to St. Damien's Pediatric Hospital and St. Luke's Schools,"Purchased $140,000 worth of food and cooking utensils for St. Damien's Pediatric Hospital in Port-au-Prince and St. Luke's, a network of neighborhood schools. This is the first of a number of material aid infusions which Operation USA hopes to be sustained over the next 2 years or so. ",,,,,,"Shelter and Non-Food Items, Food Security and Agriculture",,Food Aid,,"St. Damien's Pediatric Hospital, St. Luke's Schools",,,,,,,Haiti,Ouest,Port-au-Prince,Delmas,,"St. Damien's Pediatric Hospital, St. Luke's Schools","18.570555, 0","-72.253333, 0",Richard Walden,,rwalden@opusa.org,,,,
Operation USA,2,OPUSA-HT-10-002,Providing Relief Supplies  and Transport,"With foundation and music industry support, Operation USA built a youth feeding center for L'Athletique d'Haiti (LADH) which included a kitchen and cafeteria for 450 children.  Those structures survived and they are now the core of a much larger emergency program feeding the over 500 families that are now living on the facility's soccer fields. They  have sent LADH generators and shelter materials.",,,,,,"Health, Shelter and Non-Food Items, Food Security and Agriculture",,"Disaster Management, Shelter and Housing, Food Aid",,L'Athletique d'Haiti (LADH),,,,,,,Haiti,Ouest,Port-au-Prince,Pétionville,,L'Athletique d'Haiti,18.5098726,-72.2870397,Richard Walden,,rwalden@opusa.org,,,,
Operation USA,3,OPUSA-HT-10-003,Providing Relief Supplies to the City of Jacmel,"A solar water purification unit with a capacity of 20,000 gallons per day has been donated by Enertopia Corporation and will be shipped to the City of Jacmel. We are including both water and sanitation items in our grants to local partners for rebuilding schools, clinics and other local institutions. We are awaiting a response from partner agencies to our offer of 3 million water purification tablets. ",,,,,,"Water Sanitation and Hygiene, Education, Health",,"Water Sanitation and Hygiene, Education, Health",,City of Jacmel,,Enertopia Corporation,,,,,Haiti,Sud-Est,Jacmel,Jacmel,Jacmel,,18.25,-72.516667,Richard Walden,,rwalden@opusa.org,,,,
Operation USA,4,OPUSA-HT-10-004,Rebuilding Schools (Jacmel),Replacement of the major public primary school in Jacmel (Ecole National Jacob Martin Henriquez). ,,,,,,Education,,Education,,City of Jacmel,,Honeywell Hometown Solutions,,,,Children,Haiti,Sud-Est,Jacmel,Jacmel,Jacmel,,18.247,-72.516667,Richard Walden,,rwalden@opusa.org,,,,
Operation USA,5,OPUSA-HT-10-005,Rebuilding Schools (Port-au-Prince),"Rebulding of two schools in Port-au-Prince, run by St. Luke's. Exact location has not been determined because of  the dislocation of population in Cite Soliel. ",,,,,,Education,,Education,,,,,,,,Children,Haiti,Ouest,Port-au-Prince,Carrefour,,,18.6090356,-72.4494848,Richard Walden,,rwalden@opusa.org,,,,
